nonce,scenario,baseline_profit,policy_v2_profit,policy_v2_quality,policy_v2_ending_soc_pct,policy_v2_charged_mwh,policy_v2_discharged_mwh,policy_v2_reversals,policy_v2_repair_count,policy_v2_runtime,policy_v3_profit,policy_v3_quality,policy_v3_ending_soc_pct,policy_v3_charged_mwh,policy_v3_discharged_mwh,policy_v3_reversals,policy_v3_repair_count,policy_v3_runtime,policy_v4_profit,policy_v4_quality,policy_v4_ending_soc_pct,policy_v4_charged_mwh,policy_v4_discharged_mwh,policy_v4_reversals,policy_v4_repair_count,policy_v4_runtime,best_policy
0,BASELINE,29236.94100840674,65315.85437973332,1.2340180650129742,10.0,753.0512142660274,1069.9375069014372,116,51,0.08034799998858944,65785.20126340409,1.2500712794556126,10.0,773.3653906437299,1088.2710510823138,126,50,0.10850969998864457,30921.2517926649,0.057608994857439096,30.240131578947363,527.0462502750968,681.1278317766167,44,0,0.11624249996384606,policy_v3
5,BASELINE,30390.249663386,45342.16547981163,0.4919971366325304,10.0,1031.8940697378846,1300.847523672652,184,15,0.06467230000998825,45381.23024666687,0.4932825741424769,10.0,1022.4536572734274,1292.32755142348,182,15,0.08259859995450824,26503.57997814394,-0.1278919958922485,28.57730263157895,688.8582050716179,814.9041999876345,73,0,0.13091370003530756,policy_v3
10,BASELINE,22637.523882020487,52338.13875539376,1.3120081077264167,10.0,934.2882786280281,1235.2202228965489,145,52,0.08999800001038238,52597.526722122406,1.3234664265809448,10.0,938.4396694635158,1238.966853125577,149,54,0.11813359998632222,16777.817519876186,-0.25884926250876034,51.56044407894738,659.111997162889,590.4452925872821,70,0,0.12064609996741638,policy_v3
15,BASELINE,2131.482402587612,39577.52345240591,10.0,10.395833333333332,886.0831863272582,1185.4655726762487,136,58,0.09468899999046698,39998.36247285448,10.0,10.1484375,886.3584284964838,1187.7611626288071,136,56,0.12123930000234395,8954.640633253584,3.201132798085291,53.9703947368421,605.3541755089759,492.7315702162617,57,0,0.11890860000858083,policy_v2
1,CONGESTED,10514.742487435282,61458.401713806474,4.844974499603957,12.708881578947372,1710.7953966552882,2205.4725191013526,309,89,0.23297250003088266,61699.735154616355,4.867926411272294,12.707082648026315,1715.625949094452,2209.7609148024803,314,89,0.2905921000055969,14698.259286935488,0.397871541229039,54.441817434210535,1130.7011872049088,949.519214426651,141,0,0.29615409998223186,policy_v3
6,CONGESTED,4938.391240037246,60388.348322167745,10.0,24.850054824561404,1663.4146400352465,2009.2389881208808,210,92,0.2627682000165805,60215.52828103226,10.0,25.089304070723678,1678.8680508556604,2017.304390014445,219,91,0.31706889998167753,24489.644137469375,3.9590327989739507,57.11110968338814,1239.9957289405957,1015.712665049395,131,0,0.284028300025966,policy_v2
11,CONGESTED,1.6920585948047827e-12,83241.2015004744,10.0,25.031341374269005,1622.8656243813907,1956.234629933157,246,95,0.27398159995209426,84340.15311008888,10.0,25.01143606085526,1649.7991076766068,1987.7736308718427,253,95,0.3603133999858983,45411.223501826185,10.0,49.153166118421055,1141.8590181645825,1082.1730936762208,143,0,0.2948768999776803,policy_v2
16,CONGESTED,559.0736649721573,81713.06261116812,10.0,12.121436403508765,1758.87236849363,2335.6015469007275,267,88,0.23581310000736266,81663.99223346371,10.0,12.002878289473685,1754.6464133969926,2334.0319449924946,268,87,0.2967806999804452,27608.510307231772,10.0,51.21201685855262,1209.1623341973598,1085.4807785912662,125,0,0.29103000002214685,policy_v2
2,MULTIDAY,6625.7937828671975,264490.08739935706,10.0,21.211211622807014,7224.533997835678,7672.004439689623,1289,192,1.1933231999864802,264490.08739935706,10.0,21.211211622807014,7224.533997835678,7672.004439689623,1289,192,1.2579294999595731,264490.08739935706,10.0,21.211211622807014,7224.533997835678,7672.004439689623,1289,192,1.2405675999470986,policy_v2
7,MULTIDAY,3967.7718222257763,186413.5635968599,10.0,34.81980994152046,5705.645856862379,5759.822430101027,1031,192,1.284320699982345,186413.5635968599,10.0,34.81980994152046,5705.645856862379,5759.822430101027,1031,192,1.3087195999687538,186413.5635968599,10.0,34.81980994152046,5705.645856862379,5759.822430101027,1031,192,1.2528008000226691,policy_v2
