nonce,scenario,baseline,v4_profit,v4_quality,oracle_a_profit,oracle_a_quality,oracle_b_profit,oracle_b_quality,oracle_b_status
0,BASELINE,29236.94100840674,30921.2517926649,0.057608994857439096,76303.83773842486,1.6098434071770624,70067.28794828888,1.3965327948209536,ok
5,BASELINE,30390.249663386,26503.57997814394,-0.1278919958922485,52651.47514046687,0.7325120959163609,52276.42080486347,0.7201708239707433,ok
10,BASELINE,22637.523882020487,16777.817519876186,-0.25884926250876034,63863.19417662767,1.8211210072109052,58527.85620575451,1.5854354261180457,ok
15,BASELINE,2131.482402587612,8954.640633253584,3.201132798085291,53312.08139944985,10.0,47217.665703956,10.0,ok
20,BASELINE,11564.201803684049,11174.037860039129,-0.03373894283709971,42284.191703319324,2.6564730033673594,38840.90759404844,2.3587192830996804,ok
25,BASELINE,19396.254323025325,12200.297734753882,-0.370997228024491,45269.118657315455,1.3339103469190183,42678.303080848505,1.2003373625073932,ok
30,BASELINE,36169.66231269726,17452.45908523734,-0.5174834939051066,61147.30345739823,0.690568823343481,56739.77543778959,0.5687117824515197,ok
35,BASELINE,25507.077977130586,27734.367296200446,0.08732044183890865,47330.73437758179,0.8555921779500775,46407.098638678246,0.8193812195762701,ok
40,BASELINE,24393.80518731453,16634.449027233208,-0.318087157791943,62959.35737857877,1.5809568000378416,57394.39097138085,1.352826487270413,ok
45,BASELINE,35094.13088112693,11827.3501396749,-0.6629821043182339,63185.276073565,0.8004513713928331,55808.29880462727,0.5902459300979542,ok
1,CONGESTED,10514.742487435282,14698.259286935488,0.397871541229039,101042.76709922831,8.609628311046224,79392.40315999195,6.550579888029809,ok
6,CONGESTED,4938.391240037246,24489.644137469375,3.9590327989739507,124832.2442495108,10.0,102534.7076412853,10.0,ok
11,CONGESTED,1.6920585948047827e-12,45411.223501826185,10.0,168783.3281642795,10.0,124262.46693213175,10.0,ok
16,CONGESTED,559.0736649721573,27608.510307231772,10.0,129340.99774836276,10.0,102931.38666060756,10.0,ok
21,CONGESTED,3439.2725253480166,1195.5380335277378,-0.6523863621248948,140364.2565492362,10.0,88902.78706710998,10.0,ok
26,CONGESTED,1334.1769609593007,32039.972702612475,10.0,109331.05625515991,10.0,89604.02850640121,10.0,ok
31,CONGESTED,7211.369548567652,35112.38497179762,3.8690314275882223,138618.79812317874,10.0,108775.17948690637,10.0,ok
36,CONGESTED,23253.82686107543,18191.645848130836,-0.2176923842673175,124847.1951599362,4.3688881361952925,96086.43342978678,3.132069701933394,ok
41,CONGESTED,11447.504579434433,21932.559664552125,0.9159249521540513,148346.82715381522,10.0,108796.58073571813,8.503956078136751,ok
46,CONGESTED,6806.575034627554,10835.997721608015,0.5919897548898403,114459.55463058954,10.0,83839.06442770641,10.0,ok
