seed,scenario,nonce,baseline,O0,O1,O2,O4,O8,OF
2025,BASELINE,30,33184.17521623993,0.38684066365257475,0.4296044605771371,0.4400138345191511,0.4514194694719325,0.4557750977777877,0.49575276516189437
2025,BASELINE,15,27500.233608659026,0.4892486538244365,0.5445027378213275,0.5542445186100753,0.5610082242533103,0.564555324759761,0.5789690708125501
2025,BASELINE,45,30501.01851042211,0.6439587958504099,0.7253011958717174,0.7366396512631721,0.7294163572446489,0.7334101742975789,0.7623228242972123
2025,BASELINE,25,31351.306992349135,0.616217150849379,0.6787909250141276,0.6974321520952934,0.7095835119757509,0.7225567633995053,0.7470391505661234
2025,BASELINE,60,29277.96676470199,0.6875332304472839,0.7124888997172472,0.7341333889158156,0.7435985637936682,0.7634389433798211,0.8544017222515312
2025,BASELINE,0,24487.71965704296,0.7488372548403063,0.8405084253391726,0.8547345096138175,0.8687778426860002,0.878077112958336,0.9433044413582149
2025,BASELINE,70,22828.038504691944,1.1594567714598056,1.2406209788750793,1.2355344068455936,1.2575409967044584,1.253708107580739,1.353070209667566
2025,BASELINE,40,18419.925197768676,1.190999207249516,1.2915043861069821,1.3228914755475618,1.3340880494784826,1.3402109046619446,1.425159914588961
2025,BASELINE,10,19940.422849033042,1.322273140781417,1.3712682428005896,1.3933653864584337,1.4079383344222651,1.4124753154859437,1.4615284064789216
2025,BASELINE,55,17680.451359048733,1.5485577772393535,1.6284392397326084,1.6429640938195709,1.6586228845328435,1.662945457600102,1.7115021932243726
2025,BASELINE,90,9044.69416191717,4.320368951380809,4.358600293164836,4.372215723029607,4.392676370086601,4.3917770076524665,4.530758863993089
2025,BASELINE,20,4196.236137799708,7.746557427599166,7.995125819823037,8.062208875707539,8.106559323115196,8.15122315803198,8.242240095802892
